"Hero","Hero","Games","W","L","Win %","Name","Name"
"crystal_maiden","rattletrap","168","75","93","0.446","Crystal Maiden","Clockwerk"
"crystal_maiden","mirana","119","54","65","0.454","Crystal Maiden","Mirana"
"crystal_maiden","shredder","115","64","51","0.557","Crystal Maiden","Timbersaw"
"rattletrap","visage","114","51","63","0.447","Clockwerk","Visage"
"rattletrap","rubick","114","54","60","0.474","Clockwerk","Rubick"
"crystal_maiden","weaver","108","47","61","0.435","Crystal Maiden","Weaver"
"crystal_maiden","alchemist","107","55","52","0.514","Crystal Maiden","Alchemist"
"crystal_maiden","elder_titan","102","69","33","0.676","Crystal Maiden","Elder Titan"
"crystal_maiden","visage","98","51","47","0.520","Crystal Maiden","Visage"
"crystal_maiden","luna","95","55","40","0.579","Crystal Maiden","Luna"
"crystal_maiden","furion","95","44","51","0.463","Crystal Maiden","Natures Prophet"
"crystal_maiden","life_stealer","92","45","47","0.489","Crystal Maiden","Lifestealer"
"crystal_maiden","bristleback","91","56","35","0.615","Crystal Maiden","Bristleback"
"mirana","rattletrap","88","39","49","0.443","Mirana","Clockwerk"
"venomancer","rattletrap","88","48","40","0.545","Venomancer","Clockwerk"
"rubick","visage","87","38","49","0.437","Rubick","Visage"
"life_stealer","visage","87","45","42","0.517","Lifestealer","Visage"
"furion","rubick","86","39","47","0.453","Natures Prophet","Rubick"
"alchemist","rubick","85","50","35","0.588","Alchemist","Rubick"
"furion","visage","85","60","25","0.706","Natures Prophet","Visage"
"mirana","alchemist","82","43","39","0.524","Mirana","Alchemist"
"visage","shredder","82","35","47","0.427","Visage","Timbersaw"
"life_stealer","rubick","82","40","42","0.488","Lifestealer","Rubick"
"mirana","visage","81","41","40","0.506","Mirana","Visage"
"luna","visage","81","47","34","0.580","Luna","Visage"
"rattletrap","chen","78","46","32","0.590","Clockwerk","Chen"
"crystal_maiden","windrunner","76","30","46","0.395","Crystal Maiden","Windranger"
"rattletrap","life_stealer","75","26","49","0.347","Clockwerk","Lifestealer"
"rubick","shredder","74","39","35","0.527","Rubick","Timbersaw"
"crystal_maiden","storm_spirit","74","45","29","0.608","Crystal Maiden","Storm Spirit"
"alchemist","visage","73","43","30","0.589","Alchemist","Visage"
"windrunner","rattletrap","73","26","47","0.356","Windranger","Clockwerk"
"furion","alchemist","73","47","26","0.644","Natures Prophet","Alchemist"
"venomancer","weaver","72","38","34","0.528","Venomancer","Weaver"
"venomancer","furion","72","48","24","0.667","Venomancer","Natures Prophet"
"crystal_maiden","dragon_knight","70","37","33","0.529","Crystal Maiden","Dragon Knight"
"crystal_maiden","invoker","69","38","31","0.551","Crystal Maiden","Invoker"
"crystal_maiden","bounty_hunter","69","36","33","0.522","Crystal Maiden","Bounty Hunter"
"luna","rubick","69","34","35","0.493","Luna","Rubick"
"storm_spirit","visage","68","43","25","0.632","Storm Spirit","Visage"
"rattletrap","weaver","67","29","38","0.433","Clockwerk","Weaver"
"weaver","alchemist","67","40","27","0.597","Weaver","Alchemist"
"mirana","shredder","67","29","38","0.433","Mirana","Timbersaw"
"crystal_maiden","puck","65","24","41","0.369","Crystal Maiden","Puck"
"crystal_maiden","obsidian_destroyer","64","31","33","0.484","Crystal Maiden","Outworld Devourer"
"venomancer","visage","64","41","23","0.641","Venomancer","Visage"
"dragon_knight","visage","64","39","25","0.609","Dragon Knight","Visage"
"rattletrap","alchemist","63","31","32","0.492","Clockwerk","Alchemist"
"mirana","venomancer","63","31","32","0.492","Mirana","Venomancer"
"chen","rubick","63","34","29","0.540","Chen","Rubick"
"rattletrap","gyrocopter","62","36","26","0.581","Clockwerk","Gyrocopter"
"crystal_maiden","chen","61","37","24","0.607","Crystal Maiden","Chen"
"storm_spirit","life_stealer","61","36","25","0.590","Storm Spirit","Lifestealer"
"bane","mirana","61","28","33","0.459","Bane","Mirana"
"nyx_assassin","visage","60","33","27","0.550","Nyx Assassin","Visage"
"mirana","naga_siren","60","23","37","0.383","Mirana","Naga Siren"
"puck","visage","60","30","30","0.500","Puck","Visage"
"mirana","rubick","59","32","27","0.542","Mirana","Rubick"
"crystal_maiden","nyx_assassin","59","35","24","0.593","Crystal Maiden","Nyx Assassin"
"lich","rattletrap","59","34","25","0.576","Lich","Clockwerk"
