"Hero","Hero","Games","W","L","Win %","Name","Name"
"centaur","skywrath_mage","192","80","112","0.417","Centaur Warrunner","Skywrath Mage"
"tidehunter","skywrath_mage","178","88","90","0.494","Tidehunter","Skywrath Mage"
"ogre_magi","skywrath_mage","174","64","110","0.368","Ogre Magi","Skywrath Mage"
"puck","vengefulspirit","149","86","63","0.577","Puck","Vengeful Spirit"
"faceless_void","skywrath_mage","141","61","80","0.433","Faceless Void","Skywrath Mage"
"jakiro","ogre_magi","138","68","70","0.493","Jakiro","Ogre Magi"
"skywrath_mage","ember_spirit","130","57","73","0.438","Skywrath Mage","Ember Spirit"
"tidehunter","ogre_magi","129","62","67","0.481","Tidehunter","Ogre Magi"
"vengefulspirit","brewmaster","124","75","49","0.605","Vengeful Spirit","Brewmaster"
"slark","skywrath_mage","120","54","66","0.450","Slark","Skywrath Mage"
"puck","skywrath_mage","118","52","66","0.441","Puck","Skywrath Mage"
"sand_king","skywrath_mage","118","43","75","0.364","Sand King","Skywrath Mage"
"puck","ogre_magi","116","58","58","0.500","Puck","Ogre Magi"
"razor","ogre_magi","113","52","61","0.460","Razor","Ogre Magi"
"vengefulspirit","tidehunter","110","69","41","0.627","Vengeful Spirit","Tidehunter"
"earthshaker","skywrath_mage","108","55","53","0.509","Earthshaker","Skywrath Mage"
"vengefulspirit","jakiro","108","66","42","0.611","Vengeful Spirit","Jakiro"
"brewmaster","skywrath_mage","100","52","48","0.520","Brewmaster","Skywrath Mage"
"batrider","ogre_magi","100","49","51","0.490","Batrider","Ogre Magi"
"vengefulspirit","centaur","98","47","51","0.480","Vengeful Spirit","Centaur Warrunner"
"razor","skywrath_mage","97","32","65","0.330","Razor","Skywrath Mage"
"ogre_magi","centaur","95","39","56","0.411","Ogre Magi","Centaur Warrunner"
"faceless_void","ogre_magi","95","44","51","0.463","Faceless Void","Ogre Magi"
"death_prophet","skywrath_mage","92","48","44","0.522","Death Prophet","Skywrath Mage"
"viper","skywrath_mage","92","35","57","0.380","Viper","Skywrath Mage"
"ogre_magi","slark","89","50","39","0.562","Ogre Magi","Slark"
"skywrath_mage","elder_titan","87","40","47","0.460","Skywrath Mage","Elder Titan"
"vengefulspirit","batrider","87","54","33","0.621","Vengeful Spirit","Batrider"
"jakiro","skywrath_mage","86","32","54","0.372","Jakiro","Skywrath Mage"
"batrider","skywrath_mage","85","43","42","0.506","Batrider","Skywrath Mage"
"vengefulspirit","skywrath_mage","85","39","46","0.459","Vengeful Spirit","Skywrath Mage"
"invoker","skywrath_mage","83","41","42","0.494","Invoker","Skywrath Mage"
"ancient_apparition","ogre_magi","82","48","34","0.585","Ancient Apparition","Ogre Magi"
"jakiro","brewmaster","81","46","35","0.568","Jakiro","Brewmaster"
"vengefulspirit","ogre_magi","80","51","29","0.638","Vengeful Spirit","Ogre Magi"
"vengefulspirit","elder_titan","80","57","23","0.713","Vengeful Spirit","Elder Titan"
"ogre_magi","ember_spirit","79","34","45","0.430","Ogre Magi","Ember Spirit"
"vengefulspirit","death_prophet","79","44","35","0.557","Vengeful Spirit","Death Prophet"
"vengefulspirit","viper","79","50","29","0.633","Vengeful Spirit","Viper"
"death_prophet","ogre_magi","76","29","47","0.382","Death Prophet","Ogre Magi"
"razor","vengefulspirit","76","34","42","0.447","Razor","Vengeful Spirit"
"death_prophet","jakiro","75","44","31","0.587","Death Prophet","Jakiro"
"viper","ogre_magi","74","38","36","0.514","Viper","Ogre Magi"
"witch_doctor","ogre_magi","74","33","41","0.446","Witch Doctor","Ogre Magi"
"skywrath_mage","legion_commander","74","31","43","0.419","Skywrath Mage","Legion Commander"
"witch_doctor","faceless_void","74","33","41","0.446","Witch Doctor","Faceless Void"
"mirana","ogre_magi","74","37","37","0.500","Mirana","Ogre Magi"
"ancient_apparition","brewmaster","73","33","40","0.452","Ancient Apparition","Brewmaster"
"vengefulspirit","ancient_apparition","71","37","34","0.521","Vengeful Spirit","Ancient Apparition"
"tidehunter","witch_doctor","71","37","34","0.521","Tidehunter","Witch Doctor"
"vengefulspirit","faceless_void","71","40","31","0.563","Vengeful Spirit","Faceless Void"
"razor","tidehunter","71","38","33","0.535","Razor","Tidehunter"
"furion","brewmaster","70","39","31","0.557","Natures Prophet","Brewmaster"
"tidehunter","death_prophet","68","44","24","0.647","Tidehunter","Death Prophet"
"ogre_magi","medusa","68","46","22","0.676","Ogre Magi","Medusa"
"ancient_apparition","centaur","67","29","38","0.433","Ancient Apparition","Centaur Warrunner"
"puck","elder_titan","67","36","31","0.537","Puck","Elder Titan"
"brewmaster","ogre_magi","67","46","21","0.687","Brewmaster","Ogre Magi"
"lycan","ogre_magi","66","36","30","0.545","Lycan","Ogre Magi"
"drow_ranger","visage","66","36","30","0.545","Drow Ranger","Visage"
"faceless_void","ancient_apparition","66","41","25","0.621","Faceless Void","Ancient Apparition"
"faceless_void","jakiro","65","28","37","0.431","Faceless Void","Jakiro"
"furion","skywrath_mage","65","29","36","0.446","Natures Prophet","Skywrath Mage"
"witch_doctor","brewmaster","65","37","28","0.569","Witch Doctor","Brewmaster"
"magnataur","skywrath_mage","64","24","40","0.375","Magnus","Skywrath Mage"
"witch_doctor","jakiro","62","31","31","0.500","Witch Doctor","Jakiro"
"vengefulspirit","furion","62","38","24","0.613","Vengeful Spirit","Natures Prophet"
"razor","jakiro","62","31","31","0.500","Razor","Jakiro"
"razor","centaur","61","25","36","0.410","Razor","Centaur Warrunner"
"tidehunter","ember_spirit","61","28","33","0.459","Tidehunter","Ember Spirit"
"tidehunter","jakiro","61","30","31","0.492","Tidehunter","Jakiro"
"morphling","skywrath_mage","60","30","30","0.500","Morphling","Skywrath Mage"
"invoker","ogre_magi","59","34","25","0.576","Invoker","Ogre Magi"
"mirana","tidehunter","59","29","30","0.492","Mirana","Tidehunter"
"jakiro","naga_siren","59","28","31","0.475","Jakiro","Naga Siren"
"witch_doctor","viper","59","34","25","0.576","Witch Doctor","Viper"
"lich","centaur","58","29","29","0.500","Lich","Centaur Warrunner"
"tidehunter","viper","58","32","26","0.552","Tidehunter","Viper"
"earthshaker","death_prophet","58","26","32","0.448","Earthshaker","Death Prophet"
"jakiro","ember_spirit","58","28","30","0.483","Jakiro","Ember Spirit"
"batrider","ancient_apparition","58","33","25","0.569","Batrider","Ancient Apparition"
"earthshaker","centaur","57","23","34","0.404","Earthshaker","Centaur Warrunner"
"weaver","skywrath_mage","56","23","33","0.411","Weaver","Skywrath Mage"
"vengefulspirit","visage","56","29","27","0.518","Vengeful Spirit","Visage"
"brewmaster","rubick","56","25","31","0.446","Brewmaster","Rubick"
"skeleton_king","skywrath_mage","56","24","32","0.429","Wraith King","Skywrath Mage"
"mirana","shadow_demon","56","31","25","0.554","Mirana","Shadow Demon"
"vengefulspirit","lycan","56","35","21","0.625","Vengeful Spirit","Lycan"
"tiny","wisp","55","30","25","0.545","Tiny","Io"
"jakiro","lycan","55","30","25","0.545","Jakiro","Lycan"
"earthshaker","razor","55","24","31","0.436","Earthshaker","Razor"
"tidehunter","ancient_apparition","54","27","27","0.500","Tidehunter","Ancient Apparition"
"phantom_assassin","skywrath_mage","54","26","28","0.481","Phantom Assassin","Skywrath Mage"
"ogre_magi","naga_siren","54","32","22","0.593","Ogre Magi","Naga Siren"
"antimage","skywrath_mage","54","24","30","0.444","Anti Mage","Skywrath Mage"
"vengefulspirit","ember_spirit","53","28","25","0.528","Vengeful Spirit","Ember Spirit"
"witch_doctor","batrider","53","25","28","0.472","Witch Doctor","Batrider"
"tidehunter","lycan","53","28","25","0.528","Tidehunter","Lycan"
"witch_doctor","death_prophet","53","26","27","0.491","Witch Doctor","Death Prophet"
"mirana","ember_spirit","53","30","23","0.566","Mirana","Ember Spirit"
"vengefulspirit","phantom_assassin","53","33","20","0.623","Vengeful Spirit","Phantom Assassin"
"necrolyte","ogre_magi","53","28","25","0.528","Necrophos","Ogre Magi"
"weaver","ogre_magi","53","18","35","0.340","Weaver","Ogre Magi"
"drow_ranger","vengefulspirit","53","28","25","0.528","Drow Ranger","Vengeful Spirit"
"puck","ancient_apparition","53","30","23","0.566","Puck","Ancient Apparition"
"brewmaster","elder_titan","53","35","18","0.660","Brewmaster","Elder Titan"
"razor","faceless_void","53","25","28","0.472","Razor","Faceless Void"
"vengefulspirit","slark","52","29","23","0.558","Vengeful Spirit","Slark"
"shredder","skywrath_mage","52","26","26","0.500","Timbersaw","Skywrath Mage"
"earthshaker","tidehunter","52","28","24","0.538","Earthshaker","Tidehunter"
"ogre_magi","legion_commander","52","26","26","0.500","Ogre Magi","Legion Commander"
"faceless_void","death_prophet","52","32","20","0.615","Faceless Void","Death Prophet"
"vengefulspirit","invoker","52","31","21","0.596","Vengeful Spirit","Invoker"
"faceless_void","invoker","52","23","29","0.442","Faceless Void","Invoker"
