"Hero","Hero","Games","W","L","Win %","Name","Name"
"bane","gyrocopter","73","44","29","0.603","Bane","Gyrocopter"
"dazzle","gyrocopter","71","43","28","0.606","Dazzle","Gyrocopter"
"gyrocopter","tusk","70","46","24","0.657","Gyrocopter","Tusk"
"dazzle","tusk","61","34","27","0.557","Dazzle","Tusk"
"bane","tusk","51","33","18","0.647","Bane","Tusk"
"queenofpain","tusk","51","34","17","0.667","Queen of Pain","Tusk"
"dark_seer","gyrocopter","47","26","21","0.553","Dark Seer","Gyrocopter"
"windrunner","gyrocopter","46","26","20","0.565","Windranger","Gyrocopter"
"juggernaut","dazzle","46","23","23","0.500","Juggernaut","Dazzle"
"slardar","dazzle","44","18","26","0.409","Slardar","Dazzle"
"earthshaker","gyrocopter","43","14","29","0.326","Earthshaker","Gyrocopter"
"juggernaut","vengefulspirit","43","22","21","0.512","Juggernaut","Vengeful Spirit"
"vengefulspirit","gyrocopter","42","25","17","0.595","Vengeful Spirit","Gyrocopter"
"bane","vengefulspirit","42","24","18","0.571","Bane","Vengeful Spirit"
"bane","queenofpain","42","25","17","0.595","Bane","Queen of Pain"
"bane","slardar","41","26","15","0.634","Bane","Slardar"
"invoker","tusk","40","25","15","0.625","Invoker","Tusk"
"windrunner","dazzle","39","15","24","0.385","Windranger","Dazzle"
"queenofpain","gyrocopter","39","25","14","0.641","Queen of Pain","Gyrocopter"
"dark_seer","tusk","39","17","22","0.436","Dark Seer","Tusk"
"dazzle","invoker","39","21","18","0.538","Dazzle","Invoker"
"spirit_breaker","gyrocopter","39","21","18","0.538","Spirit Breaker","Gyrocopter"
"gyrocopter","undying","39","18","21","0.462","Gyrocopter","Undying"
"vengefulspirit","tusk","39","25","14","0.641","Vengeful Spirit","Tusk"
"juggernaut","tusk","38","22","16","0.579","Juggernaut","Tusk"
"bane","invoker","38","26","12","0.684","Bane","Invoker"
"bane","nevermore","37","22","15","0.595","Bane","Shadow Fiend"
"gyrocopter","disruptor","37","20","17","0.541","Gyrocopter","Disruptor"
"gyrocopter","invoker","36","23","13","0.639","Gyrocopter","Invoker"
"viper","gyrocopter","36","14","22","0.389","Viper","Gyrocopter"
"disruptor","tusk","36","17","19","0.472","Disruptor","Tusk"
"shadow_shaman","gyrocopter","36","22","14","0.611","Shadow Shaman","Gyrocopter"
"windrunner","tusk","36","16","20","0.444","Windranger","Tusk"
"tusk","ember_spirit","36","16","20","0.444","Tusk","Ember Spirit"
"vengefulspirit","queenofpain","36","19","17","0.528","Vengeful Spirit","Queen of Pain"
"earthshaker","queenofpain","36","17","19","0.472","Earthshaker","Queen of Pain"
"vengefulspirit","dazzle","35","22","13","0.629","Vengeful Spirit","Dazzle"
"dazzle","rattletrap","35","15","20","0.429","Dazzle","Clockwerk"
"vengefulspirit","spirit_breaker","34","18","16","0.529","Vengeful Spirit","Spirit Breaker"
"vengefulspirit","dark_seer","34","20","14","0.588","Vengeful Spirit","Dark Seer"
"nevermore","dazzle","33","14","19","0.424","Shadow Fiend","Dazzle"
"bane","tiny","33","15","18","0.455","Bane","Tiny"
"bane","spirit_breaker","33","17","16","0.515","Bane","Spirit Breaker"
"slardar","gyrocopter","33","18","15","0.545","Slardar","Gyrocopter"
"bane","dark_seer","33","23","10","0.697","Bane","Dark Seer"
"dazzle","spirit_breaker","33","16","17","0.485","Dazzle","Spirit Breaker"
"bane","juggernaut","32","21","11","0.656","Bane","Juggernaut"
"juggernaut","slardar","32","16","16","0.500","Juggernaut","Slardar"
"lina","tusk","32","20","12","0.625","Lina","Tusk"
"vengefulspirit","invoker","32","22","10","0.688","Vengeful Spirit","Invoker"
"lina","gyrocopter","31","18","13","0.581","Lina","Gyrocopter"
"earthshaker","dazzle","31","12","19","0.387","Earthshaker","Dazzle"
"windrunner","slardar","31","10","21","0.323","Windranger","Slardar"
"vengefulspirit","viper","31","13","18","0.419","Vengeful Spirit","Viper"
"queenofpain","dazzle","31","19","12","0.613","Queen of Pain","Dazzle"
