"Hero","Hero","Games","W","L","Win %","Name","Name"
"vengefulspirit","magnataur","62","20","42","0.323","Vengeful Spirit","Magnus"
"lion","enigma","63","21","42","0.333","Lion","Enigma"
"dazzle","ancient_apparition","71","25","46","0.352","Dazzle","Ancient Apparition"
"axe","sniper","70","25","45","0.357","Axe","Sniper"
"tidehunter","troll_warlord","61","22","39","0.361","Tidehunter","Troll Warlord"
"axe","chen","71","26","45","0.366","Axe","Chen"
"nevermore","sniper","93","34","59","0.366","Shadow Fiend","Sniper"
"witch_doctor","batrider","65","24","41","0.369","Witch Doctor","Batrider"
"nevermore","ancient_apparition","84","31","53","0.369","Shadow Fiend","Ancient Apparition"
"earthshaker","rattletrap","135","52","83","0.385","Earthshaker","Clockwerk"
"earthshaker","juggernaut","119","46","73","0.387","Earthshaker","Juggernaut"
"puck","vengefulspirit","79","31","48","0.392","Puck","Vengeful Spirit"
"disruptor","wisp","81","32","49","0.395","Disruptor","Io"
"nevermore","rattletrap","96","38","58","0.396","Shadow Fiend","Clockwerk"
"axe","rattletrap","134","53","81","0.396","Axe","Clockwerk"
"queenofpain","rubick","65","26","39","0.400","Queen of Pain","Rubick"
"axe","ancient_apparition","95","38","57","0.400","Axe","Ancient Apparition"
"nevermore","chen","64","26","38","0.406","Shadow Fiend","Chen"
"earthshaker","chen","81","33","48","0.407","Earthshaker","Chen"
"axe","nevermore","120","49","71","0.408","Axe","Shadow Fiend"
"medusa","troll_warlord","63","26","37","0.413","Medusa","Troll Warlord"
"witch_doctor","brewmaster","58","24","34","0.414","Witch Doctor","Brewmaster"
"lion","brewmaster","69","29","40","0.420","Lion","Brewmaster"
"vengefulspirit","sniper","114","48","66","0.421","Vengeful Spirit","Sniper"
"sand_king","vengefulspirit","59","25","34","0.424","Sand King","Vengeful Spirit"
"storm_spirit","troll_warlord","73","31","42","0.425","Storm Spirit","Troll Warlord"
"ogre_magi","skywrath_mage","61","26","35","0.426","Ogre Magi","Skywrath Mage"
"lion","magnataur","61","26","35","0.426","Lion","Magnus"
"lina","rattletrap","79","34","45","0.430","Lina","Clockwerk"
"zuus","witch_doctor","65","28","37","0.431","Zeus","Witch Doctor"
"zuus","lina","72","31","41","0.431","Zeus","Lina"
"witch_doctor","ancient_apparition","72","31","41","0.431","Witch Doctor","Ancient Apparition"
"storm_spirit","wisp","67","29","38","0.433","Storm Spirit","Io"
"vengefulspirit","chen","97","42","55","0.433","Vengeful Spirit","Chen"
"witch_doctor","queenofpain","83","36","47","0.434","Witch Doctor","Queen of Pain"
"earthshaker","ancient_apparition","73","32","41","0.438","Earthshaker","Ancient Apparition"
"lion","troll_warlord","153","67","86","0.438","Lion","Troll Warlord"
"axe","brewmaster","75","33","42","0.440","Axe","Brewmaster"
"lion","sniper","118","52","66","0.441","Lion","Sniper"
"axe","zuus","104","46","58","0.442","Axe","Zeus"
"slark","troll_warlord","61","27","34","0.443","Slark","Troll Warlord"
"witch_doctor","wisp","97","43","54","0.443","Witch Doctor","Io"
"earthshaker","zuus","94","42","52","0.447","Earthshaker","Zeus"
"lina","sniper","58","26","32","0.448","Lina","Sniper"
"axe","ember_spirit","58","26","32","0.448","Axe","Ember Spirit"
"axe","vengefulspirit","212","95","117","0.448","Axe","Vengeful Spirit"
"axe","witch_doctor","131","59","72","0.450","Axe","Witch Doctor"
"earthshaker","wisp","82","37","45","0.451","Earthshaker","Io"
"queenofpain","troll_warlord","91","41","50","0.451","Queen of Pain","Troll Warlord"
"nevermore","lina","102","46","56","0.451","Shadow Fiend","Lina"
"vengefulspirit","lycan","73","33","40","0.452","Vengeful Spirit","Lycan"
"nevermore","queenofpain","152","69","83","0.454","Shadow Fiend","Queen of Pain"
"nevermore","vengefulspirit","185","84","101","0.454","Shadow Fiend","Vengeful Spirit"
"axe","phoenix","68","31","37","0.456","Axe","Phoenix"
"witch_doctor","chen","79","36","43","0.456","Witch Doctor","Chen"
"skywrath_mage","ember_spirit","70","32","38","0.457","Skywrath Mage","Ember Spirit"
"queenofpain","skywrath_mage","129","59","70","0.457","Queen of Pain","Skywrath Mage"
"lina","rubick","72","33","39","0.458","Lina","Rubick"
"earthshaker","lina","96","44","52","0.458","Earthshaker","Lina"
"axe","juggernaut","144","66","78","0.458","Axe","Juggernaut"
"earthshaker","storm_spirit","98","45","53","0.459","Earthshaker","Storm Spirit"
"earthshaker","sniper","122","56","66","0.459","Earthshaker","Sniper"
"witch_doctor","rubick","63","29","34","0.460","Witch Doctor","Rubick"
"rattletrap","rubick","78","36","42","0.462","Clockwerk","Rubick"
"nevermore","batrider","110","51","59","0.464","Shadow Fiend","Batrider"
"axe","earthshaker","157","73","84","0.465","Axe","Earthshaker"
"lion","rubick","159","74","85","0.465","Lion","Rubick"
"lion","queenofpain","146","68","78","0.466","Lion","Queen of Pain"
"sniper","phoenix","60","28","32","0.467","Sniper","Phoenix"
"skywrath_mage","phoenix","60","28","32","0.467","Skywrath Mage","Phoenix"
"vengefulspirit","brewmaster","120","56","64","0.467","Vengeful Spirit","Brewmaster"
"axe","troll_warlord","122","57","65","0.467","Axe","Troll Warlord"
"nevermore","phoenix","64","30","34","0.469","Shadow Fiend","Phoenix"
"lion","wisp","113","53","60","0.469","Lion","Io"
"juggernaut","lycan","66","31","35","0.470","Juggernaut","Lycan"
"axe","tidehunter","66","31","35","0.470","Axe","Tidehunter"
"vengefulspirit","zuus","123","58","65","0.472","Vengeful Spirit","Zeus"
"queenofpain","rattletrap","78","37","41","0.474","Queen of Pain","Clockwerk"
"nevermore","dazzle","59","28","31","0.475","Shadow Fiend","Dazzle"
"vengefulspirit","treant","61","29","32","0.475","Vengeful Spirit","Treant Protector"
"storm_spirit","vengefulspirit","141","67","74","0.475","Storm Spirit","Vengeful Spirit"
"lion","rattletrap","143","68","75","0.476","Lion","Clockwerk"
"lion","viper","65","31","34","0.477","Lion","Viper"
"axe","wisp","71","34","37","0.479","Axe","Io"
"nevermore","brewmaster","73","35","38","0.479","Shadow Fiend","Brewmaster"
"lina","lion","144","69","75","0.479","Lina","Lion"
"lion","spirit_breaker","75","36","39","0.480","Lion","Spirit Breaker"
"axe","lina","81","39","42","0.481","Axe","Lina"
"storm_spirit","skywrath_mage","104","50","54","0.481","Storm Spirit","Skywrath Mage"
"vengefulspirit","phoenix","83","40","43","0.482","Vengeful Spirit","Phoenix"
"storm_spirit","sniper","87","42","45","0.483","Storm Spirit","Sniper"
"juggernaut","morphling","62","30","32","0.484","Juggernaut","Morphling"
"earthshaker","spirit_breaker","62","30","32","0.484","Earthshaker","Spirit Breaker"
"lion","treant","64","31","33","0.484","Lion","Treant Protector"
"juggernaut","rubick","95","46","49","0.484","Juggernaut","Rubick"
"bristleback","skywrath_mage","68","33","35","0.485","Bristleback","Skywrath Mage"
"zuus","sniper","76","37","39","0.487","Zeus","Sniper"
"lion","skywrath_mage","213","104","109","0.488","Lion","Skywrath Mage"
"nevermore","zuus","94","46","48","0.489","Shadow Fiend","Zeus"
"nevermore","rubick","96","47","49","0.490","Shadow Fiend","Rubick"
"axe","queenofpain","112","55","57","0.491","Axe","Queen of Pain"
"medusa","skywrath_mage","61","30","31","0.492","Medusa","Skywrath Mage"
"zuus","queenofpain","65","32","33","0.492","Zeus","Queen of Pain"
"nevermore","witch_doctor","122","60","62","0.492","Shadow Fiend","Witch Doctor"
"vengefulspirit","rubick","128","63","65","0.492","Vengeful Spirit","Rubick"
"axe","lion","189","93","96","0.492","Axe","Lion"
"juggernaut","batrider","85","42","43","0.494","Juggernaut","Batrider"
"witch_doctor","bristleback","85","42","43","0.494","Witch Doctor","Bristleback"
"storm_spirit","lion","160","79","81","0.494","Storm Spirit","Lion"
"batrider","skywrath_mage","103","51","52","0.495","Batrider","Skywrath Mage"
"vengefulspirit","dazzle","123","61","62","0.496","Vengeful Spirit","Dazzle"
"earthshaker","troll_warlord","163","81","82","0.497","Earthshaker","Troll Warlord"
"juggernaut","lion","193","96","97","0.497","Juggernaut","Lion"
"witch_doctor","sniper","64","32","32","0.500","Witch Doctor","Sniper"
"dazzle","batrider","64","32","32","0.500","Dazzle","Batrider"
"disruptor","skywrath_mage","68","34","34","0.500","Disruptor","Skywrath Mage"
"axe","viper","70","35","35","0.500","Axe","Viper"
"wisp","troll_warlord","72","36","36","0.500","Io","Troll Warlord"
"vengefulspirit","wisp","120","60","60","0.500","Vengeful Spirit","Io"
"axe","skywrath_mage","138","69","69","0.500","Axe","Skywrath Mage"
"vengefulspirit","troll_warlord","198","99","99","0.500","Vengeful Spirit","Troll Warlord"
"zuus","lion","115","58","57","0.504","Zeus","Lion"
"witch_doctor","troll_warlord","117","59","58","0.504","Witch Doctor","Troll Warlord"
"earthshaker","rubick","141","71","70","0.504","Earthshaker","Rubick"
"earthshaker","vengefulspirit","258","130","128","0.504","Earthshaker","Vengeful Spirit"
"lina","queenofpain","107","54","53","0.505","Lina","Queen of Pain"
"nevermore","wisp","77","39","38","0.506","Shadow Fiend","Io"
"rubick","skywrath_mage","87","44","43","0.506","Rubick","Skywrath Mage"
"vengefulspirit","batrider","168","85","83","0.506","Vengeful Spirit","Batrider"
"rattletrap","troll_warlord","67","34","33","0.507","Clockwerk","Troll Warlord"
"batrider","rubick","73","37","36","0.507","Batrider","Rubick"
"storm_spirit","rattletrap","63","32","31","0.508","Storm Spirit","Clockwerk"
"earthshaker","phoenix","65","33","32","0.508","Earthshaker","Phoenix"
"vengefulspirit","lion","333","169","164","0.508","Vengeful Spirit","Lion"
"vengefulspirit","bristleback","108","55","53","0.509","Vengeful Spirit","Bristleback"
"axe","storm_spirit","114","58","56","0.509","Axe","Storm Spirit"
"lion","batrider","129","66","63","0.512","Lion","Batrider"
"morphling","vengefulspirit","72","37","35","0.514","Morphling","Vengeful Spirit"
"nevermore","storm_spirit","140","72","68","0.514","Shadow Fiend","Storm Spirit"
"vengefulspirit","lina","97","50","47","0.515","Vengeful Spirit","Lina"
"juggernaut","vengefulspirit","198","102","96","0.515","Juggernaut","Vengeful Spirit"
"vengefulspirit","spirit_breaker","64","33","31","0.516","Vengeful Spirit","Spirit Breaker"
"witch_doctor","rattletrap","58","30","28","0.517","Witch Doctor","Clockwerk"
"queenofpain","viper","60","31","29","0.517","Queen of Pain","Viper"
"witch_doctor","skywrath_mage","118","61","57","0.517","Witch Doctor","Skywrath Mage"
"queenofpain","batrider","85","44","41","0.518","Queen of Pain","Batrider"
"vengefulspirit","witch_doctor","208","108","100","0.519","Vengeful Spirit","Witch Doctor"
"earthshaker","lion","213","111","102","0.521","Earthshaker","Lion"
"nevermore","templar_assassin","67","35","32","0.522","Shadow Fiend","Templar Assassin"
"axe","batrider","115","60","55","0.522","Axe","Batrider"
"sniper","skywrath_mage","86","45","41","0.523","Sniper","Skywrath Mage"
"batrider","slark","88","46","42","0.523","Batrider","Slark"
