"Hero","Hero","Games","W","L","Win %","Name","Name"
"queenofpain","bounty_hunter","51","13","38","0.255","Queen of Pain","Bounty Hunter"
"bloodseeker","rattletrap","36","11","25","0.306","Bloodseeker","Clockwerk"
"earthshaker","spirit_breaker","81","26","55","0.321","Earthshaker","Spirit Breaker"
"dark_seer","disruptor","40","13","27","0.325","Dark Seer","Disruptor"
"lina","templar_assassin","54","18","36","0.333","Lina","Templar Assassin"
"drow_ranger","leshrac","36","12","24","0.333","Drow Ranger","Leshrac"
"queenofpain","dragon_knight","50","17","33","0.340","Queen of Pain","Dragon Knight"
"wisp","winter_wyvern","47","16","31","0.340","Io","Winter Wyvern"
"earthshaker","naga_siren","44","15","29","0.341","Earthshaker","Naga Siren"
"lion","dazzle","41","14","27","0.341","Lion","Dazzle"
"bloodseeker","tusk","38","13","25","0.342","Bloodseeker","Tusk"
"nevermore","beastmaster","37","13","24","0.351","Shadow Fiend","Beastmaster"
"dark_seer","tusk","76","27","49","0.355","Dark Seer","Tusk"
"earthshaker","bounty_hunter","62","22","40","0.355","Earthshaker","Bounty Hunter"
"lina","dragon_knight","45","16","29","0.356","Lina","Dragon Knight"
"lion","leshrac","45","16","29","0.356","Lion","Leshrac"
"witch_doctor","dark_seer","47","17","30","0.362","Witch Doctor","Dark Seer"
"dark_seer","gyrocopter","85","31","54","0.365","Dark Seer","Gyrocopter"
"queenofpain","winter_wyvern","52","19","33","0.365","Queen of Pain","Winter Wyvern"
"witch_doctor","spirit_breaker","49","18","31","0.367","Witch Doctor","Spirit Breaker"
"puck","queenofpain","38","14","24","0.368","Puck","Queen of Pain"
"rattletrap","tusk","83","31","52","0.373","Clockwerk","Tusk"
"dazzle","tusk","85","32","53","0.376","Dazzle","Tusk"
"lion","disruptor","37","14","23","0.378","Lion","Disruptor"
"earthshaker","leshrac","91","35","56","0.385","Earthshaker","Leshrac"
"witch_doctor","wisp","75","29","46","0.387","Witch Doctor","Io"
"witch_doctor","queenofpain","62","24","38","0.387","Witch Doctor","Queen of Pain"
"rattletrap","leshrac","82","32","50","0.390","Clockwerk","Leshrac"
"lina","gyrocopter","175","69","106","0.394","Lina","Gyrocopter"
"lion","tusk","38","15","23","0.395","Lion","Tusk"
"rubick","tusk","53","21","32","0.396","Rubick","Tusk"
"rubick","disruptor","68","27","41","0.397","Rubick","Disruptor"
"witch_doctor","gyrocopter","100","40","60","0.400","Witch Doctor","Gyrocopter"
"dark_seer","winter_wyvern","45","18","27","0.400","Dark Seer","Winter Wyvern"
"zuus","lina","42","17","25","0.405","Zeus","Lina"
"witch_doctor","tusk","42","17","25","0.405","Witch Doctor","Tusk"
"bloodseeker","queenofpain","37","15","22","0.405","Bloodseeker","Queen of Pain"
