"Hero","Hero","Games","W","L","Win %","Name","Name"
"sand_king","tidehunter","76","26","50","0.342","Sand King","Tidehunter"
"shadow_demon","treant","88","31","57","0.352","Shadow Demon","Treant Protector"
"enchantress","treant","59","21","38","0.356","Enchantress","Treant Protector"
"shadow_shaman","death_prophet","58","21","37","0.362","Shadow Shaman","Death Prophet"
"dark_seer","batrider","58","21","37","0.362","Dark Seer","Batrider"
"viper","doom_bringer","84","31","53","0.369","Viper","Doom"
"viper","batrider","75","28","47","0.373","Viper","Batrider"
"dark_seer","doom_bringer","58","22","36","0.379","Dark Seer","Doom"
"sand_king","doom_bringer","89","34","55","0.382","Sand King","Doom"
"puck","batrider","68","26","42","0.382","Puck","Batrider"
"faceless_void","death_prophet","70","27","43","0.386","Faceless Void","Death Prophet"
"invoker","treant","85","33","52","0.388","Invoker","Treant Protector"
"earthshaker","rubick","72","28","44","0.389","Earthshaker","Rubick"
"tinker","furion","59","23","36","0.390","Tinker","Natures Prophet"
"viper","brewmaster","91","36","55","0.396","Viper","Brewmaster"
"sand_king","skeleton_king","72","29","43","0.403","Sand King","Wraith King"
"shadow_demon","rubick","132","54","78","0.409","Shadow Demon","Rubick"
"sand_king","brewmaster","68","28","40","0.412","Sand King","Brewmaster"
"faceless_void","batrider","58","24","34","0.414","Faceless Void","Batrider"
"dragon_knight","doom_bringer","58","24","34","0.414","Dragon Knight","Doom"
"skeleton_king","treant","65","27","38","0.415","Wraith King","Treant Protector"
"earthshaker","skeleton_king","67","28","39","0.418","Earthshaker","Wraith King"
"earthshaker","doom_bringer","57","24","33","0.421","Earthshaker","Doom"
"earthshaker","death_prophet","59","25","34","0.424","Earthshaker","Death Prophet"
"dark_seer","rubick","59","25","34","0.424","Dark Seer","Rubick"
"vengefulspirit","faceless_void","61","26","35","0.426","Vengeful Spirit","Faceless Void"
"invoker","rubick","103","44","59","0.427","Invoker","Rubick"
"ancient_apparition","doom_bringer","89","38","51","0.427","Ancient Apparition","Doom"
"jakiro","skywrath_mage","84","36","48","0.429","Jakiro","Skywrath Mage"
"ancient_apparition","brewmaster","70","30","40","0.429","Ancient Apparition","Brewmaster"
"invoker","centaur","111","48","63","0.432","Invoker","Centaur Warrunner"
"razor","rubick","81","35","46","0.432","Razor","Rubick"
"invoker","skywrath_mage","81","35","46","0.432","Invoker","Skywrath Mage"
"dazzle","rubick","60","26","34","0.433","Dazzle","Rubick"
"faceless_void","doom_bringer","83","36","47","0.434","Faceless Void","Doom"
"skeleton_king","brewmaster","73","32","41","0.438","Wraith King","Brewmaster"
"puck","shadow_shaman","64","28","36","0.438","Puck","Shadow Shaman"
"viper","ancient_apparition","82","36","46","0.439","Viper","Ancient Apparition"
"sand_king","invoker","93","41","52","0.441","Sand King","Invoker"
"mirana","lycan","59","26","33","0.441","Mirana","Lycan"
"furion","doom_bringer","122","54","68","0.443","Natures Prophet","Doom"
"viper","furion","79","35","44","0.443","Viper","Natures Prophet"
"earthshaker","mirana","90","40","50","0.444","Earthshaker","Mirana"
"sand_king","shadow_shaman","74","33","41","0.446","Sand King","Shadow Shaman"
"faceless_void","skeleton_king","74","33","41","0.446","Faceless Void","Wraith King"
"brewmaster","treant","65","29","36","0.446","Brewmaster","Treant Protector"
"faceless_void","rubick","58","26","32","0.448","Faceless Void","Rubick"
"mirana","witch_doctor","58","26","32","0.448","Mirana","Witch Doctor"
"earthshaker","furion","78","35","43","0.449","Earthshaker","Natures Prophet"
"dragon_knight","invoker","60","27","33","0.450","Dragon Knight","Invoker"
"razor","furion","73","33","40","0.452","Razor","Natures Prophet"
"skeleton_king","furion","75","34","41","0.453","Wraith King","Natures Prophet"
"dark_seer","treant","101","46","55","0.455","Dark Seer","Treant Protector"
"earthshaker","viper","66","30","36","0.455","Earthshaker","Viper"
"razor","viper","114","52","62","0.456","Razor","Viper"
"batrider","rubick","68","31","37","0.456","Batrider","Rubick"
"shadow_shaman","dark_seer","57","26","31","0.456","Shadow Shaman","Dark Seer"
"ancient_apparition","rubick","94","43","51","0.457","Ancient Apparition","Rubick"
"sand_king","shadow_demon","92","42","50","0.457","Sand King","Shadow Demon"
"mirana","treant","142","65","77","0.458","Mirana","Treant Protector"
"rubick","disruptor","59","27","32","0.458","Rubick","Disruptor"
"shadow_shaman","brewmaster","98","45","53","0.459","Shadow Shaman","Brewmaster"
"sand_king","treant","100","46","54","0.460","Sand King","Treant Protector"
"earthshaker","brewmaster","87","40","47","0.460","Earthshaker","Brewmaster"
"viper","skywrath_mage","106","49","57","0.462","Viper","Skywrath Mage"
"batrider","invoker","80","37","43","0.463","Batrider","Invoker"
"skeleton_king","rubick","67","31","36","0.463","Wraith King","Rubick"
"puck","brewmaster","67","31","36","0.463","Puck","Brewmaster"
"earthshaker","skywrath_mage","110","51","59","0.464","Earthshaker","Skywrath Mage"
"tidehunter","furion","84","39","45","0.464","Tidehunter","Natures Prophet"
"earthshaker","faceless_void","56","26","30","0.464","Earthshaker","Faceless Void"
"skeleton_king","doom_bringer","120","56","64","0.467","Wraith King","Doom"
"earthshaker","razor","92","43","49","0.467","Earthshaker","Razor"
"shadow_shaman","shadow_demon","75","35","40","0.467","Shadow Shaman","Shadow Demon"
"death_prophet","rubick","60","28","32","0.467","Death Prophet","Rubick"
"shadow_demon","centaur","81","38","43","0.469","Shadow Demon","Centaur Warrunner"
"razor","death_prophet","100","47","53","0.470","Razor","Death Prophet"
"shadow_demon","disruptor","66","31","35","0.470","Shadow Demon","Disruptor"
"mirana","luna","66","31","35","0.470","Mirana","Luna"
"batrider","brewmaster","72","34","38","0.472","Batrider","Brewmaster"
"faceless_void","viper","91","43","48","0.473","Faceless Void","Viper"
"rubick","skywrath_mage","101","48","53","0.475","Rubick","Skywrath Mage"
"vengefulspirit","batrider","80","38","42","0.475","Vengeful Spirit","Batrider"
"puck","rubick","61","29","32","0.475","Puck","Rubick"
"tidehunter","skywrath_mage","105","50","55","0.476","Tidehunter","Skywrath Mage"
"shadow_shaman","furion","84","40","44","0.476","Shadow Shaman","Natures Prophet"
"tidehunter","brewmaster","107","51","56","0.477","Tidehunter","Brewmaster"
"tidehunter","invoker","65","31","34","0.477","Tidehunter","Invoker"
"faceless_void","skywrath_mage","113","54","59","0.478","Faceless Void","Skywrath Mage"
"faceless_void","brewmaster","96","46","50","0.479","Faceless Void","Brewmaster"
"earthshaker","shadow_shaman","71","34","37","0.479","Earthshaker","Shadow Shaman"
"razor","tidehunter","81","39","42","0.481","Razor","Tidehunter"
"razor","faceless_void","85","41","44","0.482","Razor","Faceless Void"
"ancient_apparition","centaur","85","41","44","0.482","Ancient Apparition","Centaur Warrunner"
"sand_king","rubick","118","57","61","0.483","Sand King","Rubick"
"razor","ancient_apparition","60","29","31","0.483","Razor","Ancient Apparition"
"centaur","ember_spirit","58","28","30","0.483","Centaur Warrunner","Ember Spirit"
"sand_king","batrider","66","32","34","0.485","Sand King","Batrider"
"tidehunter","centaur","72","35","37","0.486","Tidehunter","Centaur Warrunner"
"furion","treant","70","34","36","0.486","Natures Prophet","Treant Protector"
"mirana","enchantress","78","38","40","0.487","Mirana","Enchantress"
"shadow_shaman","invoker","76","37","39","0.487","Shadow Shaman","Invoker"
"sand_king","furion","82","40","42","0.488","Sand King","Natures Prophet"
"viper","rubick","82","40","42","0.488","Viper","Rubick"
"faceless_void","centaur","80","39","41","0.488","Faceless Void","Centaur Warrunner"
"sand_king","ancient_apparition","92","45","47","0.489","Sand King","Ancient Apparition"
"brewmaster","centaur","110","54","56","0.491","Brewmaster","Centaur Warrunner"
"shadow_shaman","skywrath_mage","181","89","92","0.492","Shadow Shaman","Skywrath Mage"
"death_prophet","furion","61","30","31","0.492","Death Prophet","Natures Prophet"
"dragon_knight","rubick","61","30","31","0.492","Dragon Knight","Rubick"
"shadow_shaman","centaur","87","43","44","0.494","Shadow Shaman","Centaur Warrunner"
