"Hero","Hero","Games","W","L","Win %","Name","Name"
"dark_seer","obsidian_destroyer","82","24","58","0.293","Dark Seer","Outworld Devourer"
"furion","chen","118","39","79","0.331","Natures Prophet","Chen"
"furion","wisp","63","21","42","0.333","Natures Prophet","Io"
"alchemist","naga_siren","104","36","68","0.346","Alchemist","Naga Siren"
"jakiro","gyrocopter","81","28","53","0.346","Jakiro","Gyrocopter"
"shadow_demon","naga_siren","72","25","47","0.347","Shadow Demon","Naga Siren"
"dark_seer","batrider","97","35","62","0.361","Dark Seer","Batrider"
"shadow_demon","visage","176","64","112","0.364","Shadow Demon","Visage"
"jakiro","nyx_assassin","77","28","49","0.364","Jakiro","Nyx Assassin"
"dark_seer","nyx_assassin","184","69","115","0.375","Dark Seer","Nyx Assassin"
"windrunner","visage","72","27","45","0.375","Windranger","Visage"
"rattletrap","batrider","72","27","45","0.375","Clockwerk","Batrider"
"weaver","chen","124","47","77","0.379","Weaver","Chen"
"rubick","wisp","97","37","60","0.381","Rubick","Io"
"life_stealer","treant","63","24","39","0.381","Lifestealer","Treant Protector"
"rattletrap","chen","78","30","48","0.385","Clockwerk","Chen"
"batrider","wisp","70","27","43","0.386","Batrider","Io"
"dark_seer","chen","142","55","87","0.387","Dark Seer","Chen"
"puck","visage","113","44","69","0.389","Puck","Visage"
"alchemist","lone_druid","61","24","37","0.393","Alchemist","Lone Druid"
"dark_seer","rubick","217","86","131","0.396","Dark Seer","Rubick"
"puck","nyx_assassin","96","38","58","0.396","Puck","Nyx Assassin"
"batrider","chen","63","25","38","0.397","Batrider","Chen"
"furion","treant","63","25","38","0.397","Natures Prophet","Treant Protector"
"leshrac","visage","58","23","35","0.397","Leshrac","Visage"
"jakiro","visage","113","45","68","0.398","Jakiro","Visage"
"jakiro","rubick","119","48","71","0.403","Jakiro","Rubick"
"life_stealer","obsidian_destroyer","91","37","54","0.407","Lifestealer","Outworld Devourer"
"puck","dragon_knight","91","37","54","0.407","Puck","Dragon Knight"
"lina","visage","59","24","35","0.407","Lina","Visage"
"nyx_assassin","visage","157","64","93","0.408","Nyx Assassin","Visage"
"sand_king","nyx_assassin","66","27","39","0.409","Sand King","Nyx Assassin"
"shadow_demon","nyx_assassin","117","48","69","0.410","Shadow Demon","Nyx Assassin"
"queenofpain","weaver","78","32","46","0.410","Queen of Pain","Weaver"
"rattletrap","gyrocopter","90","37","53","0.411","Clockwerk","Gyrocopter"
"rattletrap","visage","109","45","64","0.413","Clockwerk","Visage"
"storm_spirit","dark_seer","63","26","37","0.413","Storm Spirit","Dark Seer"
"razor","visage","65","27","38","0.415","Razor","Visage"
"dark_seer","weaver","193","81","112","0.420","Dark Seer","Weaver"
"queenofpain","dragon_knight","69","29","40","0.420","Queen of Pain","Dragon Knight"
"dark_seer","visage","232","98","134","0.422","Dark Seer","Visage"
"dark_seer","gyrocopter","156","66","90","0.423","Dark Seer","Gyrocopter"
"dragon_knight","gyrocopter","101","43","58","0.426","Dragon Knight","Gyrocopter"
"gyrocopter","rubick","145","62","83","0.428","Gyrocopter","Rubick"
"alchemist","visage","163","70","93","0.429","Alchemist","Visage"
"lone_druid","naga_siren","65","28","37","0.431","Lone Druid","Naga Siren"
"bane","lone_druid","58","25","33","0.431","Bane","Lone Druid"
"gyrocopter","treant","69","30","39","0.435","Gyrocopter","Treant Protector"
"weaver","nyx_assassin","143","63","80","0.441","Weaver","Nyx Assassin"
"dark_seer","alchemist","111","49","62","0.441","Dark Seer","Alchemist"
"furion","visage","219","97","122","0.443","Natures Prophet","Visage"
"bane","visage","119","53","66","0.445","Bane","Visage"
"rattletrap","alchemist","65","29","36","0.446","Clockwerk","Alchemist"
"windrunner","weaver","67","30","37","0.448","Windranger","Weaver"
"weaver","batrider","118","53","65","0.449","Weaver","Batrider"
"life_stealer","chen","118","53","65","0.449","Lifestealer","Chen"
"jakiro","chen","60","27","33","0.450","Jakiro","Chen"
"gyrocopter","naga_siren","82","37","45","0.451","Gyrocopter","Naga Siren"
"dark_seer","shredder","71","32","39","0.451","Dark Seer","Timbersaw"
"sand_king","life_stealer","57","26","31","0.456","Sand King","Lifestealer"
"furion","nyx_assassin","140","64","76","0.457","Natures Prophet","Nyx Assassin"
"queenofpain","visage","116","53","63","0.457","Queen of Pain","Visage"
"bane","nyx_assassin","81","37","44","0.457","Bane","Nyx Assassin"
"antimage","gyrocopter","59","27","32","0.458","Anti Mage","Gyrocopter"
"shadow_demon","lone_druid","59","27","32","0.458","Shadow Demon","Lone Druid"
"dark_seer","wisp","63","29","34","0.460","Dark Seer","Io"
"alchemist","obsidian_destroyer","63","29","34","0.460","Alchemist","Outworld Devourer"
