"Hero","Hero","Games","W","L","Win %","Name","Name"
"tidehunter","necrolyte","39","16","23","0.410","Tidehunter","Necrophos"
"earthshaker","furion","39","16","23","0.410","Earthshaker","Natures Prophet"
"puck","elder_titan","39","16","23","0.410","Puck","Elder Titan"
"vengefulspirit","templar_assassin","39","17","22","0.436","Vengeful Spirit","Templar Assassin"
"ancient_apparition","ember_spirit","39","19","20","0.487","Ancient Apparition","Ember Spirit"
"faceless_void","naga_siren","39","15","24","0.385","Faceless Void","Naga Siren"
"vengefulspirit","lycan","39","24","15","0.615","Vengeful Spirit","Lycan"
"dazzle","ogre_magi","40","19","21","0.475","Dazzle","Ogre Magi"
"wisp","centaur","40","20","20","0.500","Io","Centaur Warrunner"
"ogre_magi","visage","40","20","20","0.500","Ogre Magi","Visage"
"magnataur","skywrath_mage","40","29","11","0.725","Magnus","Skywrath Mage"
"necrolyte","ogre_magi","40","26","14","0.650","Necrophos","Ogre Magi"
"mirana","faceless_void","40","22","18","0.550","Mirana","Faceless Void"
"morphling","ogre_magi","40","24","16","0.600","Morphling","Ogre Magi"
"venomancer","ogre_magi","40","22","18","0.550","Venomancer","Ogre Magi"
"storm_spirit","ogre_magi","40","21","19","0.525","Storm Spirit","Ogre Magi"
"enigma","skywrath_mage","40","30","10","0.750","Enigma","Skywrath Mage"
"batrider","elder_titan","40","23","17","0.575","Batrider","Elder Titan"
"vengefulspirit","dazzle","40","28","12","0.700","Vengeful Spirit","Dazzle"
"ogre_magi","medusa","40","20","20","0.500","Ogre Magi","Medusa"
"antimage","skywrath_mage","41","20","21","0.488","Anti Mage","Skywrath Mage"
"sand_king","jakiro","41","17","24","0.415","Sand King","Jakiro"
"morphling","tidehunter","41","17","24","0.415","Morphling","Tidehunter"
"furion","brewmaster","41","18","23","0.439","Natures Prophet","Brewmaster"
"viper","batrider","41","22","19","0.537","Viper","Batrider"
"faceless_void","elder_titan","41","20","21","0.488","Faceless Void","Elder Titan"
"razor","elder_titan","41","14","27","0.341","Razor","Elder Titan"
"silencer","skywrath_mage","41","23","18","0.561","Silencer","Skywrath Mage"
"antimage","ogre_magi","41","19","22","0.463","Anti Mage","Ogre Magi"
"brewmaster","elder_titan","41","27","14","0.659","Brewmaster","Elder Titan"
"tidehunter","shredder","41","17","24","0.415","Tidehunter","Timbersaw"
"skeleton_king","ogre_magi","41","22","19","0.537","Wraith King","Ogre Magi"
"jakiro","legion_commander","42","20","22","0.476","Jakiro","Legion Commander"
"earthshaker","death_prophet","42","17","25","0.405","Earthshaker","Death Prophet"
"jakiro","rubick","42","21","21","0.500","Jakiro","Rubick"
"batrider","legion_commander","42","21","21","0.500","Batrider","Legion Commander"
"vengefulspirit","lich","42","25","17","0.595","Vengeful Spirit","Lich"
"earthshaker","faceless_void","42","23","19","0.548","Earthshaker","Faceless Void"
"lycan","elder_titan","42","19","23","0.452","Lycan","Elder Titan"
"mirana","death_prophet","42","22","20","0.524","Mirana","Death Prophet"
"lion","skywrath_mage","42","25","17","0.595","Lion","Skywrath Mage"
"faceless_void","ancient_apparition","42","23","19","0.548","Faceless Void","Ancient Apparition"
"earthshaker","batrider","43","18","25","0.419","Earthshaker","Batrider"
"ogre_magi","disruptor","43","26","17","0.605","Ogre Magi","Disruptor"
"faceless_void","ember_spirit","43","25","18","0.581","Faceless Void","Ember Spirit"
"faceless_void","viper","43","21","22","0.488","Faceless Void","Viper"
"death_prophet","rubick","43","18","25","0.419","Death Prophet","Rubick"
"jakiro","wisp","43","18","25","0.419","Jakiro","Io"
"faceless_void","furion","43","23","20","0.535","Faceless Void","Natures Prophet"
"earthshaker","ancient_apparition","43","20","23","0.465","Earthshaker","Ancient Apparition"
"mirana","jakiro","44","22","22","0.500","Mirana","Jakiro"
"tidehunter","invoker","44","25","19","0.568","Tidehunter","Invoker"
"puck","wisp","44","22","22","0.500","Puck","Io"
"lich","skywrath_mage","44","22","22","0.500","Lich","Skywrath Mage"
"vengefulspirit","magnataur","44","27","17","0.614","Vengeful Spirit","Magnus"
"death_prophet","furion","45","27","18","0.600","Death Prophet","Natures Prophet"
"vengefulspirit","skeleton_king","45","32","13","0.711","Vengeful Spirit","Wraith King"
"mirana","tidehunter","45","27","18","0.600","Mirana","Tidehunter"
"witch_doctor","elder_titan","45","20","25","0.444","Witch Doctor","Elder Titan"
"rubick","centaur","45","21","24","0.467","Rubick","Centaur Warrunner"
"zuus","skywrath_mage","45","30","15","0.667","Zeus","Skywrath Mage"
"earthshaker","puck","45","17","28","0.378","Earthshaker","Puck"
"vengefulspirit","naga_siren","46","19","27","0.413","Vengeful Spirit","Naga Siren"
"slark","centaur","46","27","19","0.587","Slark","Centaur Warrunner"
"witch_doctor","faceless_void","47","29","18","0.617","Witch Doctor","Faceless Void"
"vengefulspirit","disruptor","47","25","22","0.532","Vengeful Spirit","Disruptor"
"death_prophet","batrider","47","25","22","0.532","Death Prophet","Batrider"
"brewmaster","rubick","47","27","20","0.574","Brewmaster","Rubick"
"batrider","ancient_apparition","47","23","24","0.489","Batrider","Ancient Apparition"
"furion","batrider","47","24","23","0.511","Natures Prophet","Batrider"
"phantom_assassin","skywrath_mage","47","28","19","0.596","Phantom Assassin","Skywrath Mage"
"viper","ancient_apparition","48","21","27","0.438","Viper","Ancient Apparition"
"ogre_magi","terrorblade","48","23","25","0.479","Ogre Magi","Terrorblade"
"vengefulspirit","doom_bringer","48","28","20","0.583","Vengeful Spirit","Doom"
"death_prophet","viper","48","23","25","0.479","Death Prophet","Viper"
"razor","faceless_void","48","20","28","0.417","Razor","Faceless Void"
"earthshaker","jakiro","48","16","32","0.333","Earthshaker","Jakiro"
"ancient_apparition","centaur","48","26","22","0.542","Ancient Apparition","Centaur Warrunner"
"skywrath_mage","terrorblade","49","26","23","0.531","Skywrath Mage","Terrorblade"
"mirana","brewmaster","49","25","24","0.510","Mirana","Brewmaster"
"viper","brewmaster","50","21","29","0.420","Viper","Brewmaster"
"vengefulspirit","furion","50","25","25","0.500","Vengeful Spirit","Natures Prophet"
"ancient_apparition","brewmaster","50","25","25","0.500","Ancient Apparition","Brewmaster"
"faceless_void","death_prophet","50","23","27","0.460","Faceless Void","Death Prophet"
"sand_king","skywrath_mage","50","22","28","0.440","Sand King","Skywrath Mage"
"puck","faceless_void","51","29","22","0.569","Puck","Faceless Void"
"vengefulspirit","phantom_assassin","51","29","22","0.569","Vengeful Spirit","Phantom Assassin"
"puck","viper","51","30","21","0.588","Puck","Viper"
"sand_king","vengefulspirit","51","22","29","0.431","Sand King","Vengeful Spirit"
"puck","legion_commander","51","21","30","0.412","Puck","Legion Commander"
"razor","ember_spirit","51","24","27","0.471","Razor","Ember Spirit"
"razor","ancient_apparition","51","19","32","0.373","Razor","Ancient Apparition"
"phantom_assassin","ogre_magi","51","27","24","0.529","Phantom Assassin","Ogre Magi"
"tidehunter","death_prophet","51","27","24","0.529","Tidehunter","Death Prophet"
"mirana","puck","52","23","29","0.442","Mirana","Puck"
"razor","batrider","52","23","29","0.442","Razor","Batrider"
"skywrath_mage","legion_commander","52","23","29","0.442","Skywrath Mage","Legion Commander"
"skeleton_king","skywrath_mage","52","31","21","0.596","Wraith King","Skywrath Mage"
"viper","centaur","52","23","29","0.442","Viper","Centaur Warrunner"
"ogre_magi","legion_commander","52","24","28","0.462","Ogre Magi","Legion Commander"
"necrolyte","skywrath_mage","53","36","17","0.679","Necrophos","Skywrath Mage"
"puck","witch_doctor","53","24","29","0.453","Puck","Witch Doctor"
"venomancer","skywrath_mage","53","39","14","0.736","Venomancer","Skywrath Mage"
"witch_doctor","brewmaster","54","26","28","0.481","Witch Doctor","Brewmaster"
"dazzle","skywrath_mage","54","25","29","0.463","Dazzle","Skywrath Mage"
"morphling","skywrath_mage","54","28","26","0.519","Morphling","Skywrath Mage"
"spectre","skywrath_mage","54","28","26","0.519","Spectre","Skywrath Mage"
"mirana","razor","54","36","18","0.667","Mirana","Razor"
"faceless_void","batrider","54","26","28","0.481","Faceless Void","Batrider"
"tidehunter","wisp","54","25","29","0.463","Tidehunter","Io"
"vengefulspirit","legion_commander","54","30","24","0.556","Vengeful Spirit","Legion Commander"
"puck","ancient_apparition","54","30","24","0.556","Puck","Ancient Apparition"
"brewmaster","slark","55","31","24","0.564","Brewmaster","Slark"
"death_prophet","elder_titan","55","21","34","0.382","Death Prophet","Elder Titan"
"puck","ember_spirit","55","27","28","0.491","Puck","Ember Spirit"
"witch_doctor","centaur","55","25","30","0.455","Witch Doctor","Centaur Warrunner"
"centaur","elder_titan","55","27","28","0.491","Centaur Warrunner","Elder Titan"
