"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"invoker","Invoker","36.5","55.4","91.9","573","869","1442"
"ancient_apparition","Ancient Apparition","39.2","37.0","76.2","615","580","1195"
"batrider","Batrider","33.3","42.0","75.3","523","659","1182"
"nyx_assassin","Nyx Assassin","32.3","41.8","74.1","507","656","1163"
"ember_spirit","Ember Spirit","20.7","47.7","68.4","325","748","1073"
"lycan","Lycan","13.1","51.2","64.3","206","803","1009"
"visage","Visage","24.9","32.8","57.6","390","514","904"
"doom_bringer","Doom","23.8","33.5","57.4","374","526","900"
"mirana","Mirana","35.9","21.2","57.1","563","333","896"
"furion","Natures Prophet","27.9","27.3","55.3","438","429","867"
"naga_siren","Naga Siren","17.1","36.5","53.7","269","573","842"
"dazzle","Dazzle","32.0","21.5","53.5","502","338","840"
"centaur","Centaur Warrunner","28.5","19.6","48.1","447","307","754"
"puck","Puck","24.7","22.9","47.6","387","360","747"
"rubick","Rubick","32.6","14.0","46.6","512","219","731"
"luna","Luna","21.5","24.6","46.1","338","386","724"
"storm_spirit","Storm Spirit","19.1","26.7","45.8","300","419","719"
"rattletrap","Clockwerk","22.4","22.8","45.1","351","357","708"
"life_stealer","Lifestealer","18.4","24.5","42.9","288","385","673"
"shadow_shaman","Shadow Shaman","26.8","13.3","40.2","421","209","630"
"enchantress","Enchantress","16.4","21.3","37.7","257","334","591"
"slark","Slark","12.2","24.0","36.3","192","377","569"
"venomancer","Venomancer","15.1","19.9","35.1","237","313","550"
"chen","Chen","17.0","18.1","35.1","267","284","551"
"bane","Bane","19.8","14.5","34.4","311","228","539"
"sand_king","Sand King","22.9","8.8","31.7","359","138","497"
"shadow_demon","Shadow Demon","18.4","10.8","29.2","288","170","458"
"crystal_maiden","Crystal Maiden","18.2","8.7","27.0","286","137","423"
"shredder","Timbersaw","11.7","13.3","24.9","183","208","391"
"weaver","Weaver","13.3","11.5","24.7","208","180","388"
"dark_seer","Dark Seer","13.1","10.8","24.0","206","170","376"
"disruptor","Disruptor","13.4","10.5","23.9","210","165","375"
"templar_assassin","Templar Assassin","10.9","11.7","22.6","171","184","355"
"morphling","Morphling","10.8","11.2","21.9","169","175","344"
"wisp","Io","9.7","12.2","21.9","152","191","343"
"obsidian_destroyer","Outworld Devourer","5.4","15.6","21.0","85","245","330"
"dragon_knight","Dragon Knight","10.4","8.7","19.1","163","137","300"
"viper","Viper","8.7","9.6","18.2","136","150","286"
"treant","Treant Protector","9.4","7.2","16.6","147","113","260"
"elder_titan","Elder Titan","7.7","8.7","16.4","121","137","258"
"alchemist","Alchemist","9.3","7.1","16.4","146","111","257"
"vengefulspirit","Vengeful Spirit","12.7","3.5","16.2","199","55","254"
"bristleback","Bristleback","5.1","10.0","15.1","80","157","237"
"slardar","Slardar","8.2","5.7","14.0","129","90","219"
"nevermore","Shadow Fiend","8.4","5.4","13.8","132","84","216"
"spectre","Spectre","6.3","7.3","13.6","99","115","214"
"death_prophet","Death Prophet","6.2","6.5","12.7","98","102","200"
"lone_druid","Lone Druid","5.8","6.3","12.1","91","99","190"
"tinker","Tinker","5.6","5.7","11.3","88","89","177"
"earthshaker","Earthshaker","7.8","2.7","10.6","123","43","166"
"gyrocopter","Gyrocopter","6.3","4.2","10.5","99","66","165"
"pugna","Pugna","3.3","6.7","9.9","51","105","156"
"lich","Lich","6.7","3.1","9.8","105","48","153"
